"SP500.Low","seasonal","trend","remainder"
906.076660333,1.04643894357473,923.738923135046,-18.7087017456209
912.803344667,16.4356194912381,918.39883401495,-22.0311088391876
919.530029,16.4356194912381,913.058744894853,-9.96433538609097
927.280029,16.4356194912381,907.681341953352,3.16306755540984
902.369995,16.4356194912381,902.303939011851,-16.3695635030895
896.809998,11.6077618477177,896.920104682363,-11.7178685300808
888.309998,11.6077618477177,891.536270352874,-14.8340342005922
880.313334333,11.6077618477177,886.475913336136,-17.7703408508536
872.316670667,11.6077618477177,881.415556319397,-20.7066475001147
864.320007,6.26412405100196,875.473930694151,-17.4180477451531
862.02002,6.26412405100196,869.532305068905,-13.7764091199072
836.929993,6.26412405100196,864.370009249447,-33.7041403004491
817.039978,6.26412405100196,859.207713429989,-48.431859480991
830.659973,0.890259566757885,854.395334279355,-24.6256208461132
824.1124725,0.890259566757885,849.582955128722,-26.3607421954796
817.564972,0.890259566757885,846.570725133966,-29.8960127007242
811.0174715,0.890259566757885,843.558495139211,-33.4312832059688
804.469971,-2.38005298454328,843.00414143193,-36.1541174473869
804.299988,-2.38005298454328,842.449787724649,-35.769746740106
811.289978,-2.38005298454328,843.49119907983,-29.8211680952871
806.070007,-2.38005298454328,844.532610435012,-36.0825504504683
813.276672,-4.98775981972668,846.742802196092,-28.4783703763654
820.483337,-4.98775981972668,848.952993957173,-23.4818971374459
827.690002,-4.98775981972668,852.633760101313,-19.9559982815864
835.400024,-4.98775981972668,856.314526245454,-15.9267424257271
845.72998,-6.19517765834845,857.630361282987,-5.7052036246381
844.150024,-6.19517765834845,858.946196320519,-8.60099466217093
821.669983,-6.19517765834845,859.251137395,-31.3859767366519
818.736653667,-6.19517765834845,859.556078469481,-34.6242471441326
815.803324333,-8.8707771761017,859.293141321067,-34.6190398119655
812.869995,-8.8707771761017,859.030204172653,-37.2894319965515
821.97998,-8.8707771761017,858.790392768324,-27.9396355922227
829.179993,-8.87077717610171,858.550581363995,-20.4998111878938
819.909973,-12.5042736214922,857.465635868323,-25.051389246831
845.419983,-12.5042736214922,856.380690372651,1.5435662488411
850.829996667,-12.5042736214922,854.03600209548,9.29826819301229
856.240010333,-12.5042736214922,851.691313818309,17.0529701361835
861.650024,-17.5252713961065,846.981757069419,32.1935383266878
822.98999,-17.5252713961065,842.272200320529,-1.75693892442223
822.299988,-17.5252713961065,837.272943003348,2.55231639275894
808.059998,-17.5252713961065,832.273685686166,-6.68841629005976
825.210022,-23.8528764111665,826.37007673086,22.692821680306
816.20001225,-23.8528764111665,820.466467775555,19.5864208856118
807.1900025,-23.8528764111665,813.054545919103,17.9883329920636
798.17999275,-23.8528764111665,805.642624062651,16.3902450985154
789.169983,-26.6755436305183,797.792815685624,18.0527109448943
780.429993,-26.6755436305183,789.943007308597,17.1625293219215
777.030029,-26.6755436305183,783.163782143746,20.5417904867721
754.25,-26.6755436305183,776.384556978895,4.5409866516228
750.289998333,-26.8673246947192,771.207170555564,5.95015247215497
746.329996667,-26.8673246947192,766.029784132233,7.16753722948636
742.369995,-26.8673246947192,762.119434871903,7.11788482281679
744.690002,-26.8673246947192,758.209085611572,13.3482410831473
752.890015,-27.4652092506247,755.996428196904,24.3587960537205
751.75,-27.4652092506247,753.783770782236,25.4314384683884
734.52002,-27.4652092506247,751.822005066072,10.1632241845525
722.913350667,-27.4652092506247,749.860239349908,0.518320567716501
711.306681333,-27.5855582376637,746.348937656336,-7.45669808567266
699.700012,-27.5855582376637,742.837635962764,-15.5520657251008
692.299988,-27.5855582376637,737.217804944136,-17.3322587064728
698.599976,-27.5855582376637,731.597973925508,-5.41243968784477
677.929993,-28.1803452928544,722.149755816737,-16.0394175238823
666.789978,-28.1803452928544,712.701537707965,-17.7312144151105
668.819987,-28.1803452928544,716.936100965959,-19.9357686731051
670.849996,-28.1803452928544,721.170664223954,-22.1403229310998
672.880005,-28.4489797239046,732.493369703314,-31.1643849794095
679.280029,-28.4489797239046,743.816075182674,-36.0870664587695
713.849976,-28.4489797239046,744.138046482345,-1.83909075844053
714.76001,-28.4489797239046,744.460017782016,-1.2510280581115
742.460022,-28.1932363422057,744.883393505785,25.7698648364204
746.096679667,-28.1932363422057,745.306769229555,28.9831467796512
