"WikipediaTrend","seasonal","trend","remainder"
1,326.367968614769,-367.432574546911,42.0646059321423
0,256.968043750458,-383.898011241293,126.929967490835
1,256.968043750458,-400.363447935675,144.395404185217
0,256.968043750458,-413.893290222855,156.925246472397
0,256.968043750458,-427.423132510036,170.455088759577
1,433.981557631055,-440.06982088515,7.08826325409535
0,433.981557631055,-452.716509260265,18.7349516292099
1,433.981557631055,-460.989587302998,28.0080296719431
0,433.981557631055,-469.262665345731,35.2811077146763
0,486.526639984092,-478.67018304128,-7.85645694281214
0,486.526639984092,-488.077700736829,1.55106075273659
0,486.526639984092,-514.654277400248,28.1276374161561
0,486.526639984092,-541.230854063668,54.7042140795756
1,425.432301239529,-566.629566508218,142.197265268688
0,425.432301239529,-592.028278952768,166.595977713238
0,425.432301239529,-615.602660306753,190.170359067223
0,425.432301239529,-639.177041660738,213.744740421208
0,564.480781013432,-652.109851823393,87.6290708099608
1,564.480781013432,-665.042661986048,101.561880972616
1,564.480781013432,-658.356132372363,94.8753513589313
0,564.480781013432,-651.669602758678,87.1888217452465
0,542.19936093741,-644.184066225615,101.984705288205
0,542.19936093741,-636.698529692551,94.4991687551416
1,542.19936093741,-631.875675618111,90.6763146807016
0,542.19936093741,-627.052821543671,84.8534606062616
0,382.264609330763,-597.714870079035,215.450260748272
4,382.264609330763,-568.376918614399,190.112309283636
0,382.264609330763,-530.062408243031,147.797798912268
1,382.264609330763,-491.747897871662,110.483288540899
0,560.479544583542,-456.238700653359,-104.240843930184
0,560.479544583542,-420.729503435055,-139.750041148487
0,560.479544583542,-382.999614610789,-177.479929972754
1,560.479544583542,-345.269725786522,-214.20981879702
2,491.045555974929,-312.957259155854,-176.088296819075
0,491.045555974929,-280.644792525186,-210.400763449743
0,491.045555974929,-263.379549103358,-227.666006871571
0,491.045555974929,-246.114305681529,-244.931250293399
0,315.377687745036,-242.255228524624,-73.1224592204122
1,315.377687745036,-238.396151367719,-75.9815363773174
1,315.377687745036,-259.032834767354,-55.3448529776823
0,315.377687745036,-279.669518166989,-35.7081695780471
0,402.765330017609,-316.936912092351,-85.8284179252585
0,402.765330017609,-354.204306017712,-48.5610239998973
1,402.765330017609,-417.568404939093,15.8030749214839
2,402.765330017609,-480.932503860474,80.1671738428652
0,528.456532617988,-575.203789329075,46.7472567110876
0,528.456532617988,-669.475074797676,141.018542179689
0,528.456532617988,-761.263633610585,232.807100992598
0,528.456532617988,-853.052192423494,324.595659805507
0,602.688436761465,-940.666344931076,337.977908169611
2,602.688436761465,-1028.28049743866,427.592060677193
0,602.688436761465,-1110.52354337193,507.835106610464
0,602.688436761465,-1192.7665893052,590.078152543736
1,669.529669085553,-1244.65582904311,576.126159957553
0,669.529669085553,-1296.54506878101,627.015399695459
